tweet_id,timestamp,source,rating_numerator,name,isdog,dogbreed,p_value,favorite_count,retweet_count,expanded_urls
673636718965334016,2015-12-06 22:54:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,None,False,Wombat,0.880257,1122,370,https://twitter.com/dog_rates/status/673636718965334016/photo/1
673612854080196609,2015-12-06 21:19:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,Jeffri,True,Newfoundland,0.223101,1607,740,https://twitter.com/dog_rates/status/673612854080196609/photo/1
673583129559498752,2015-12-06 19:21:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,Sandy,False,Arctic_fox,0.153271,1206,375,https://twitter.com/dog_rates/status/673583129559498752/photo/1
673580926094458881,2015-12-06 19:13:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8,None,True,Beagle,0.985062,845,274,https://twitter.com/dog_rates/status/673580926094458881/photo/1
673576835670777856,2015-12-06 18:56:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,None,False,Teddy,0.25521,1400,574,https://twitter.com/dog_rates/status/673576835670777856/photo/1
673363615379013632,2015-12-06 04:49:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,None,False,Ox,0.193431,1038,312,https://twitter.com/dog_rates/status/673363615379013632/photo/1
673359818736984064,2015-12-06 04:34:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8,Steve,True,English_setter,0.6965680000000001,1475,687,https://twitter.com/dog_rates/status/673359818736984064/photo/1
673355879178194945,2015-12-06 04:18:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,Koda,True,Rottweiler,0.5292479999999999,1509,596,"https://twitter.com/dog_rates/status/673355879178194945/photo/1,https://twitter.com/dog_rates/status/673355879178194945/photo/1,https://twitter.com/dog_rates/status/673355879178194945/photo/1"
673352124999274496,2015-12-06 04:03:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12,None,True,Golden_retriever,0.672808,1673,549,https://twitter.com/dog_rates/status/673352124999274496/photo/1
673350198937153538,2015-12-06 03:56:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,Bella,True,West_highland_white_terrier,0.11918800000000003,752,218,https://twitter.com/dog_rates/status/673350198937153538/photo/1
